Borehole_ID,Latitude,Longitude,Height_MSL,PDOP,Vert_Prec,Horz_Prec,GPS_Date,GPS_Time
C1,-43.5224,172.589,12.975,2.8,0.4,0.4,07/20/09,03:30:21pm
C2,-43.5221,172.588,13.22,2.8,0.5,0.5,07/20/09,03:32:31pm
C3,-43.5218,172.5867,13.34,2.8,1.4,0.7,07/20/09,03:34:09pm
C4,-43.5215,172.5857,13.51,2.8,0.5,0.5,07/20/09,03:35:44pm
C5,-43.521,172.5845,13.43,2.8,0.5,0.4,07/20/09,03:37:48pm
C6,-43.5201,172.5828,13.68,2.8,0.5,0.5,07/20/09,03:40:23pm
C7,-43.5199,172.5825,13.79,2.2,1.3,0.7,07/20/09,03:41:51pm
C8,-43.5196,172.5817,14.053,2.3,1.3,0.7,07/20/09,03:43:08pm
C9,-43.5195,172.581,14.22,2.2,0.4,0.4,07/20/09,03:44:25pm
C10,-43.5198,172.5792,14.533,1.7,0.5,0.4,07/20/09,03:46:49pm
C11,-43.5202,172.5791,14.45,2.2,0.4,0.4,07/20/09,03:47:55pm
C12,-43.5205,172.5797,14.335,2.2,0.5,0.4,07/20/09,03:48:58pm
C13,-43.5204,172.5805,14.275,2.2,0.4,0.3,07/20/09,03:50:06pm
C14,-43.5205,172.5815,14.03,2.2,0.5,0.4,07/20/09,03:51:24pm
C15,-43.5205,172.5824,13.925,2.2,0.6,0.5,07/20/09,03:54:25pm
C16,-43.522,172.5809,14.86,1.7,0.9,0.6,07/20/09,04:01:02pm
C17,-43.5217,172.5803,14.776,2.7,1.4,0.7,07/20/09,04:02:10pm
C18,-43.5215,172.5788,15.327,1.6,0.5,0.3,07/20/09,04:05:27pm
C19,-43.5222,172.5786,15.54,1.7,0.7,0.6,07/20/09,04:06:55pm
C20,-43.5225,172.5786,15.585,1.6,0.4,0.4,07/20/09,04:07:52pm
C21,-43.5231,172.5785,15.795,1.8,1.5,0.9,07/20/09,04:09:06pm
C22,-43.5234,172.5794,15.235,2.1,1.5,0.9,07/20/09,04:10:20pm
C23,-43.5235,172.5804,14.46,2.6,2.1,0.9,07/20/09,04:11:36pm
C24,-43.5236,172.5811,13.47,1.8,1.5,0.9,07/20/09,04:12:47pm
C25,-43.5224,172.5805,15.273,2.3,2.3,0.9,07/20/09,04:15:55pm
C26,-43.5225,172.5795,15.44,2.5,0.7,0.4,07/20/09,04:18:17pm
C27,-43.5244,172.5817,15.64,2.7,0.1,0.1,07/28/09,02:45:17pm
