Borehole_ID,Depth_to_Watertable,Ba,Ce,Cr,Ga,La,Nb,Nd,Ni,Pb,Rb,Sr,Th,V,Y,Zn,Zr
C1,7.54,0.072,0.033,0.009,0.013,0.014,0.01,0.01,0.006,0.028,0.231,0.047,0.034,0.008,0.014,0.006,0.095
C2,9.92,1.689,0.165,0.006,0.018,0.114,0.013,0.064,0.003,0.015,0.057,0.157,0.011,0.017,0.033,0.043,0.423
C3,6.7,0.268,0.039,0.008,0.014,0.027,0.016,0.011,0.003,0.012,0.086,0.075,0.026,0.007,0.011,0.009,0.06
C4,9.07,0.412,0.117,0.01,0.018,0.062,0.028,0.05,0.004,0.022,0.085,0.093,0.024,0.006,0.04,0.047,0.207
C5,7.2,0.816,0.068,0.008,0.017,0.031,0.027,0.032,0.004,0.023,0.094,0.099,0.02,0.006,0.025,0.049,0.215
C6,4.7,0.676,0.018,0.01,0.009,0.012,0.002,0.01,0.004,0.017,0.139,0.108,0.005,0.011,0.009,0.008,0.075
C7,7.19,1.016,0.058,0.014,0.019,0.029,0.011,0.02,0.005,0.018,0.097,0.499,0.009,0.056,0.02,0.054,0.234
C8,4.35,0.581,0.062,0.013,0.015,0.035,0.013,0.01,0.005,0.019,0.164,0.216,0.023,0.021,0.02,0.034,0.129
C9,6.74,0.362,0.089,0.011,0.011,0.052,0.017,0.04,0.004,0.005,0.076,0.098,0.015,0.007,0.021,0.004,0.161
C10,6.29,0.25,0.018,0.008,0.017,0.009,0.013,0.012,0.003,0.018,0.148,0.065,0.005,0.007,0.013,0.025,0.04
C11,6.89,0.633,0.078,0.012,0.016,0.041,0.013,0.034,0.005,0.025,0.044,0.349,0.009,0.024,0.032,0.061,0.303
C12,5.66,0.3,0.051,0.005,0.012,0.023,0.009,0.042,0.004,0.023,0.184,0.094,0.025,0.01,0.019,0.011,0.081
C13,4.31,0.235,0.099,0.012,0.015,0.056,0.022,0.055,0.003,0.018,0.049,0.193,0.021,0.014,0.027,0.034,0.171
C14,4.14,2.083,0.081,0.007,0.019,0.03,0.012,0.031,0.003,0.018,0.144,0.532,0.014,0.05,0.028,0.052,0.308
C15,3.93,1.948,0.073,0.032,0.018,0.04,0.015,0.044,0.013,0.017,0.15,0.478,0.015,0.068,0.028,0.068,0.341
C16,4.46,0.78,0.058,0.024,0.019,0.027,0.013,0.011,0.01,0.009,0.117,0.501,0.007,0.081,0.018,0.062,0.195
C17,6.26,0.768,0.07,0.01,0.017,0.041,0.016,0.047,0.005,0.024,0.069,0.263,0.014,0.02,0.034,0.027,0.352
C18,5.94,0.339,0.067,0.011,0.017,0.041,0.02,0.036,0.003,0.016,0.066,0.087,0.014,0.007,0.036,0.03,0.187
C19,7.37,0.288,0.045,0.009,0.013,0.024,0.008,0.017,0.004,0.026,0.18,0.093,0.025,0.009,0.019,0.011,0.082
C20,8.37,0.776,0.073,0.01,0.015,0.043,0.02,0.029,0.003,0.018,0.107,0.089,0.019,0.008,0.018,0.02,0.156
C21,7.79,0.502,0.065,0.014,0.016,0.038,0.01,0.038,0.011,0.013,0.06,0.542,0.009,0.043,0.034,0.051,0.254
C22,6.48,0.479,0.084,0.013,0.018,0.047,0.017,0.033,0.007,0.015,0.118,0.356,0.016,0.031,0.026,0.037,0.227
C23,7.56,0.308,0.034,0.008,0.019,0.015,0.006,0.011,0.003,0.012,0.091,0.315,0.002,0.007,0.012,0.044,0.057
C24,5.06,0.091,0.022,0.007,0.012,0.017,0.009,0.018,0.003,0.032,0.209,0.043,0.023,0.01,0.017,0.009,0.057
C25,7.71,0.385,0.032,0.008,0.011,0.029,0.012,0.02,0.003,0.013,0.192,0.089,0.028,0.008,0.027,0.012,0.064
C26,6.75,0.722,0.074,0.014,0.018,0.04,0.015,0.031,0.003,0.03,0.104,0.176,0.017,0.01,0.026,0.041,0.312
C27,8.64,1.139,0.029,0.088,0.017,0.014,0.004,0.025,0.043,0.003,0.124,0.16,0.003,0.2,0.02,0.083,0.137
C28,8.1,0.403,0.038,0.007,0.013,0.021,0.008,0.014,0.003,0.006,0.055,0.226,0.009,0.048,0.024,0.041,0.135
C29,7.83,0.153,0.06,0.024,0.013,0.028,0.012,0.039,0.008,0.007,0.016,0.15,0.018,0.057,0.034,0.048,0.223
